Entity,Week,Day,Flights,Day 2019,Flights 2019 (Reference),% vs 2019 (Daily),Day Previous Year,Flights Previous Year
Albania,53,1/1/21,19,4/1/19,77,-75.32%,3/1/20,80
Albania,53,2/1/21,36,5/1/19,70,-48.57%,4/1/20,71
Albania,53,3/1/21,51,6/1/19,79,-35.44%,5/1/20,91
Albania,1,4/1/21,45,7/1/19,76,-40.79%,6/1/20,82
Albania,1,5/1/21,28,8/1/19,62,-54.84%,7/1/20,81
Albania,1,6/1/21,34,9/1/19,75,-54.67%,8/1/20,76
Albania,1,7/1/21,39,10/1/19,67,-41.79%,9/1/20,80
Albania,1,8/1/21,48,11/1/19,71,-32.39%,10/1/20,73
Albania,1,9/1/21,32,12/1/19,66,-51.52%,11/1/20,67
Albania,1,10/1/21,43,13/1/19,75,-42.67%,12/1/20,63
Albania,2,11/1/21,45,14/1/19,63,-28.57%,13/1/20,72
Albania,2,12/1/21,24,15/1/19,56,-57.14%,14/1/20,57
Albania,2,13/1/21,33,16/1/19,52,-36.54%,15/1/20,58
Albania,2,14/1/21,26,17/1/19,55,-52.73%,16/1/20,70
Albania,2,15/1/21,60,18/1/19,63,-4.76%,17/1/20,67
Albania,2,16/1/21,23,19/1/19,54,-57.41%,18/1/20,50
Albania,2,17/1/21,30,20/1/19,65,-53.85%,19/1/20,52
Albania,3,18/1/21,38,21/1/19,67,-43.28%,20/1/20,74
Albania,3,19/1/21,21,22/1/19,56,-62.50%,21/1/20,56
Albania,3,20/1/21,28,23/1/19,56,-50.00%,22/1/20,55
Albania,3,21/1/21,33,24/1/19,57,-42.11%,23/1/20,69
Albania,3,22/1/21,34,25/1/19,64,-46.88%,24/1/20,62
Albania,3,23/1/21,27,26/1/19,54,-50.00%,25/1/20,54
Albania,3,24/1/21,32,27/1/19,65,-50.77%,26/1/20,60
Albania,4,25/1/21,39,28/1/19,64,-39.06%,27/1/20,67
Albania,4,26/1/21,22,29/1/19,53,-58.49%,28/1/20,54
Albania,4,27/1/21,22,30/1/19,56,-60.71%,29/1/20,50
Albania,4,28/1/21,28,31/1/19,58,-51.72%,30/1/20,64
Albania,4,29/1/21,38,1/2/19,62,-38.71%,31/1/20,65
Albania,4,30/1/21,28,2/2/19,54,-48.15%,1/2/20,50
Albania,4,31/1/21,38,3/2/19,66,-42.42%,2/2/20,58
Albania,5,1/2/21,33,4/2/19,62,-46.77%,3/2/20,65
Albania,5,2/2/21,25,5/2/19,57,-56.14%,4/2/20,50
Albania,5,3/2/21,38,6/2/19,57,-33.33%,5/2/20,49
Albania,5,4/2/21,36,7/2/19,61,-40.98%,6/2/20,70
Albania,5,5/2/21,43,8/2/19,66,-34.85%,7/2/20,63
Albania,5,6/2/21,27,9/2/19,54,-50.00%,8/2/20,55
Albania,5,7/2/21,41,10/2/19,64,-35.94%,9/2/20,58
Albania,6,8/2/21,37,11/2/19,65,-43.08%,10/2/20,68
Albania,6,9/2/21,17,12/2/19,58,-70.69%,11/2/20,54
Albania,6,10/2/21,25,13/2/19,54,-53.70%,12/2/20,57
Albania,6,11/2/21,41,14/2/19,64,-35.94%,13/2/20,70
Albania,6,12/2/21,56,15/2/19,70,-20.00%,14/2/20,70
Albania,6,13/2/21,25,16/2/19,53,-52.83%,15/2/20,54
Albania,6,14/2/21,40,17/2/19,67,-40.30%,16/2/20,63
Albania,7,15/2/21,40,18/2/19,67,-40.30%,17/2/20,67
Albania,7,16/2/21,13,19/2/19,52,-75.00%,18/2/20,53
Albania,7,17/2/21,28,20/2/19,51,-45.10%,19/2/20,58
Albania,7,18/2/21,30,21/2/19,57,-47.37%,20/2/20,72
Albania,7,19/2/21,50,22/2/19,66,-24.24%,21/2/20,65
Albania,7,20/2/21,32,23/2/19,54,-40.74%,22/2/20,52
Albania,7,21/2/21,40,24/2/19,65,-38.46%,23/2/20,61
Albania,8,22/2/21,37,25/2/19,65,-43.08%,24/2/20,70
Albania,8,23/2/21,22,26/2/19,52,-57.69%,25/2/20,53
Albania,8,24/2/21,30,27/2/19,58,-48.28%,26/2/20,58
Albania,8,25/2/21,34,28/2/19,65,-47.69%,27/2/20,72
Albania,8,26/2/21,54,1/3/19,65,-16.92%,28/2/20,68
Albania,8,27/2/21,33,2/3/19,49,-32.65%,29/2/20,50
Albania,8,28/2/21,40,3/3/19,67,-40.30%,1/3/20,61
Albania,9,1/3/21,45,4/3/19,65,-30.77%,2/3/20,72
Albania,9,2/3/21,29,5/3/19,51,-43.14%,3/3/20,55
Albania,9,3/3/21,24,6/3/19,53,-54.72%,4/3/20,53
Albania,9,4/3/21,31,7/3/19,67,-53.73%,5/3/20,69
Albania,9,5/3/21,45,8/3/19,65,-30.77%,6/3/20,67
Albania,9,6/3/21,32,9/3/19,48,-33.33%,7/3/20,52
Albania,9,7/3/21,43,10/3/19,65,-33.85%,8/3/20,53
Albania,10,8/3/21,41,11/3/19,67,-38.81%,9/3/20,46
Albania,10,9/3/21,25,12/3/19,53,-52.83%,10/3/20,37
Albania,10,10/3/21,27,13/3/19,57,-52.63%,11/3/20,33
Albania,10,11/3/21,30,14/3/19,60,-50.00%,12/3/20,42
Albania,10,12/3/21,39,15/3/19,68,-42.65%,13/3/20,36
Albania,10,13/3/21,29,16/3/19,49,-40.82%,14/3/20,26
Albania,10,14/3/21,40,17/3/19,62,-35.48%,15/3/20,28
Albania,11,15/3/21,42,18/3/19,65,-35.38%,16/3/20,30
Albania,11,16/3/21,21,19/3/19,45,-53.33%,17/3/20,21
Albania,11,17/3/21,31,20/3/19,60,-48.33%,18/3/20,17
Albania,11,18/3/21,29,21/3/19,64,-54.69%,19/3/20,17
Albania,11,19/3/21,49,22/3/19,66,-25.76%,20/3/20,12
Albania,11,20/3/21,34,23/3/19,55,-38.18%,21/3/20,10
Albania,11,21/3/21,55,24/3/19,71,-22.54%,22/3/20,10
Albania,12,22/3/21,43,25/3/19,62,-30.65%,23/3/20,6
Albania,12,23/3/21,23,26/3/19,49,-53.06%,24/3/20,7
Albania,12,24/3/21,26,27/3/19,52,-50.00%,25/3/20,5
Albania,12,25/3/21,37,28/3/19,62,-40.32%,26/3/20,8
Albania,12,26/3/21,46,29/3/19,80,-42.50%,27/3/20,17
Albania,12,27/3/21,45,30/3/19,49,-8.16%,28/3/20,7
Albania,12,28/3/21,47,31/3/19,61,-22.95%,29/3/20,2
Albania,13,29/3/21,56,1/4/19,77,-27.27%,30/3/20,10
Albania,13,30/3/21,33,2/4/19,59,-44.07%,31/3/20,8
Albania,13,31/3/21,32,3/4/19,70,-54.29%,1/4/20,6
Albania,13,1/4/21,50,4/4/19,67,-25.37%,2/4/20,3
Albania,13,2/4/21,62,5/4/19,77,-19.48%,3/4/20,12
Albania,13,3/4/21,36,6/4/19,54,0.00%,4/4/20,0
Albania,13,4/4/21,36,7/4/19,68,-47.06%,5/4/20,2
Albania,14,5/4/21,48,8/4/19,75,-36.00%,6/4/20,4
Albania,14,6/4/21,38,9/4/19,58,-34.48%,7/4/20,6
Albania,14,7/4/21,7,10/4/19,66,-89.39%,8/4/20,6
Albania,14,8/4/21,3,11/4/19,66,-95.45%,9/4/20,4
Albania,14,9/4/21,70,12/4/19,82,-14.63%,10/4/20,6
Albania,14,10/4/21,43,13/4/19,58,0.00%,11/4/20,0
Albania,14,11/4/21,45,14/4/19,71,0.00%,12/4/20,0
Albania,15,12/4/21,34,15/4/19,80,-57.50%,13/4/20,4
Albania,15,13/4/21,32,16/4/19,59,-45.76%,14/4/20,2
Albania,15,14/4/21,33,17/4/19,72,-54.17%,15/4/20,2
Albania,15,15/4/21,37,18/4/19,76,-51.32%,16/4/20,4
Albania,15,16/4/21,45,19/4/19,87,-48.28%,17/4/20,6
Albania,15,17/4/21,39,20/4/19,68,-42.65%,18/4/20,5
Albania,15,18/4/21,55,21/4/19,77,-28.57%,19/4/20,4
Albania,16,19/4/21,43,22/4/19,79,-45.57%,20/4/20,8
Albania,16,20/4/21,37,23/4/19,73,-49.32%,21/4/20,6
Albania,16,21/4/21,37,24/4/19,87,-57.47%,22/4/20,4
Albania,16,22/4/21,44,25/4/19,77,-42.86%,23/4/20,8
Albania,16,23/4/21,52,26/4/19,82,-36.59%,24/4/20,12
Albania,16,24/4/21,44,27/4/19,70,-37.14%,25/4/20,4
Albania,16,25/4/21,50,28/4/19,80,-37.50%,26/4/20,2
Albania,17,26/4/21,34,29/4/19,81,-58.02%,27/4/20,6
Albania,17,27/4/21,35,30/4/19,82,-57.32%,28/4/20,5
Albania,17,28/4/21,32,1/5/19,79,-59.49%,29/4/20,12
Albania,17,29/4/21,44,2/5/19,81,-45.68%,30/4/20,7
Albania,17,30/4/21,41,3/5/19,89,-53.93%,1/5/20,2
Albania,17,1/5/21,38,4/5/19,73,-47.95%,2/5/20,2
Albania,17,2/5/21,51,5/5/19,81,-37.04%,3/5/20,6
Albania,18,3/5/21,47,6/5/19,81,-41.98%,4/5/20,6
Albania,18,4/5/21,42,7/5/19,68,-38.24%,5/5/20,8
Albania,18,5/5/21,47,8/5/19,83,-43.37%,6/5/20,12
Albania,18,6/5/21,49,9/5/19,86,-43.02%,7/5/20,10
Albania,18,7/5/21,54,10/5/19,83,-34.94%,8/5/20,10
Albania,18,8/5/21,37,11/5/19,74,-50.00%,9/5/20,7
Albania,18,9/5/21,53,12/5/19,76,0.00%,10/5/20,0
Albania,19,10/5/21,45,13/5/19,83,-45.78%,11/5/20,4
Albania,19,11/5/21,32,14/5/19,71,-54.93%,12/5/20,8
Albania,19,12/5/21,46,15/5/19,68,-32.35%,13/5/20,10
Albania,19,13/5/21,50,16/5/19,74,-32.43%,14/5/20,7
Albania,19,14/5/21,58,17/5/19,83,-30.12%,15/5/20,12
Albania,19,15/5/21,52,18/5/19,74,-29.73%,16/5/20,4
Albania,19,16/5/21,54,19/5/19,73,-26.03%,17/5/20,4
Albania,20,17/5/21,65,20/5/19,82,-20.73%,18/5/20,6
Albania,20,18/5/21,54,21/5/19,65,-16.92%,19/5/20,4
Albania,20,19/5/21,39,22/5/19,73,-46.58%,20/5/20,12
Albania,20,20/5/21,57,23/5/19,76,-25.00%,21/5/20,10
Albania,20,21/5/21,65,24/5/19,85,-23.53%,22/5/20,10
Albania,20,22/5/21,42,25/5/19,75,-44.00%,23/5/20,6
Albania,20,23/5/21,61,26/5/19,76,-19.74%,24/5/20,5
Albania,21,24/5/21,59,27/5/19,78,-24.36%,25/5/20,2
Albania,21,25/5/21,55,28/5/19,76,-27.63%,26/5/20,4
Albania,21,26/5/21,45,29/5/19,71,-36.62%,27/5/20,4
Albania,21,27/5/21,64,30/5/19,74,-13.51%,28/5/20,13
Albania,21,28/5/21,70,31/5/19,88,-20.45%,29/5/20,17
Albania,21,29/5/21,46,1/6/19,78,-41.03%,30/5/20,11
Albania,21,30/5/21,59,2/6/19,79,-25.32%,31/5/20,6
Albania,22,31/5/21,76,3/6/19,93,-18.28%,1/6/20,8
Albania,22,1/6/21,69,4/6/19,88,-21.59%,2/6/20,8
Albania,22,2/6/21,63,5/6/19,69,-8.70%,3/6/20,11
Albania,22,3/6/21,70,6/6/19,76,-7.89%,4/6/20,4
Albania,22,4/6/21,80,7/6/19,91,-12.09%,5/6/20,11
Albania,22,5/6/21,60,8/6/19,81,-25.93%,6/6/20,6
Albania,22,6/6/21,69,9/6/19,80,-13.75%,7/6/20,2
Albania,23,7/6/21,82,10/6/19,95,-13.68%,8/6/20,16
Albania,23,8/6/21,75,11/6/19,100,-25.00%,9/6/20,4
Albania,23,9/6/21,58,12/6/19,72,-19.44%,10/6/20,10
Albania,23,10/6/21,80,13/6/19,78,2.56%,11/6/20,7
Albania,23,11/6/21,85,14/6/19,96,-11.46%,12/6/20,6
Albania,23,12/6/21,63,15/6/19,80,-21.25%,13/6/20,4
Albania,23,13/6/21,74,16/6/19,80,-7.50%,14/6/20,4
Albania,24,14/6/21,98,17/6/19,94,4.26%,15/6/20,14
Albania,24,15/6/21,76,18/6/19,97,-21.65%,16/6/20,14
Albania,24,16/6/21,71,19/6/19,75,-5.33%,17/6/20,20
Albania,24,17/6/21,84,20/6/19,81,3.70%,18/6/20,19
Albania,24,18/6/21,96,21/6/19,96,0.00%,19/6/20,14
Albania,24,19/6/21,69,22/6/19,84,-17.86%,20/6/20,8
Albania,24,20/6/21,90,23/6/19,83,8.43%,21/6/20,11
Albania,25,21/6/21,101,24/6/19,105,-3.81%,22/6/20,22
Albania,25,22/6/21,81,25/6/19,111,-27.03%,23/6/20,28
Albania,25,23/6/21,77,26/6/19,93,-17.20%,24/6/20,30
Albania,25,24/6/21,81,27/6/19,88,-7.95%,25/6/20,31
Albania,25,25/6/21,108,28/6/19,104,3.85%,26/6/20,40
Albania,25,26/6/21,71,29/6/19,87,-18.39%,27/6/20,23
Albania,25,27/6/21,82,30/6/19,77,6.49%,28/6/20,24
Albania,26,28/6/21,108,1/7/19,101,6.93%,29/6/20,32
Albania,26,29/6/21,85,2/7/19,120,-29.17%,30/6/20,34
Albania,26,30/6/21,71,3/7/19,96,-26.04%,1/7/20,45
Albania,26,1/7/21,87,4/7/19,88,-1.14%,2/7/20,47
Albania,26,2/7/21,108,5/7/19,98,10.20%,3/7/20,64
Albania,26,3/7/21,88,6/7/19,86,2.33%,4/7/20,38
Albania,26,4/7/21,90,7/7/19,77,16.88%,5/7/20,49
Albania,27,5/7/21,112,8/7/19,99,13.13%,6/7/20,58
Albania,27,6/7/21,100,9/7/19,117,-14.53%,7/7/20,43
Albania,27,7/7/21,86,10/7/19,94,-8.51%,8/7/20,44
Albania,27,8/7/21,94,11/7/19,95,-1.05%,9/7/20,45
Albania,27,9/7/21,103,12/7/19,105,-1.90%,10/7/20,59
Albania,27,10/7/21,91,13/7/19,93,-2.15%,11/7/20,34
Albania,27,11/7/21,94,14/7/19,85,10.59%,12/7/20,49
Albania,28,12/7/21,119,15/7/19,106,12.26%,13/7/20,75
Albania,28,13/7/21,100,16/7/19,131,-23.66%,14/7/20,68
Albania,28,14/7/21,82,17/7/19,97,-15.46%,15/7/20,51
Albania,28,15/7/21,116,18/7/19,96,20.83%,16/7/20,59
Albania,28,16/7/21,119,19/7/19,108,10.19%,17/7/20,79
Albania,28,17/7/21,97,20/7/19,94,3.19%,18/7/20,64
Albania,28,18/7/21,104,21/7/19,86,20.93%,19/7/20,67
Albania,29,19/7/21,123,22/7/19,99,24.24%,20/7/20,86
Albania,29,20/7/21,113,23/7/19,125,-9.60%,21/7/20,72
Albania,29,21/7/21,102,24/7/19,92,10.87%,22/7/20,62
Albania,29,22/7/21,113,25/7/19,109,3.67%,23/7/20,74
Albania,29,23/7/21,136,26/7/19,107,27.10%,24/7/20,90
Albania,29,24/7/21,108,27/7/19,92,17.39%,25/7/20,64
Albania,29,25/7/21,120,28/7/19,84,42.86%,26/7/20,64
Albania,30,26/7/21,106,29/7/19,106,0.00%,27/7/20,84
Albania,30,27/7/21,125,30/7/19,126,-0.79%,28/7/20,67
Albania,30,28/7/21,105,31/7/19,100,5.00%,29/7/20,70
Albania,30,29/7/21,121,1/8/19,107,13.08%,30/7/20,69
Albania,30,30/7/21,135,2/8/19,106,27.36%,31/7/20,88
Albania,30,31/7/21,125,3/8/19,96,30.21%,1/8/20,73
Albania,30,1/8/21,138,4/8/19,88,56.82%,2/8/20,82
Albania,31,2/8/21,137,5/8/19,108,26.85%,3/8/20,86
Albania,31,3/8/21,127,6/8/19,124,2.42%,4/8/20,65
Albania,31,4/8/21,118,7/8/19,99,19.19%,5/8/20,81
Albania,31,5/8/21,128,8/8/19,99,29.29%,6/8/20,67
Albania,31,6/8/21,139,9/8/19,109,27.52%,7/8/20,96
Albania,31,7/8/21,117,10/8/19,95,23.16%,8/8/20,56
Albania,31,8/8/21,125,11/8/19,88,42.05%,9/8/20,73
Albania,32,9/8/21,136,12/8/19,102,33.33%,10/8/20,83
Albania,32,10/8/21,128,13/8/19,126,1.59%,11/8/20,63
Albania,32,11/8/21,114,14/8/19,91,25.27%,12/8/20,71
Albania,32,12/8/21,129,15/8/19,98,31.63%,13/8/20,63
Albania,32,13/8/21,144,16/8/19,106,35.85%,14/8/20,93
Albania,32,14/8/21,120,17/8/19,94,27.66%,15/8/20,56
Albania,32,15/8/21,124,18/8/19,89,39.33%,16/8/20,75
Albania,33,16/8/21,143,19/8/19,103,38.83%,17/8/20,85
Albania,33,17/8/21,129,20/8/19,125,3.20%,18/8/20,64
Albania,33,18/8/21,114,21/8/19,95,20.00%,19/8/20,80
Albania,33,19/8/21,134,22/8/19,105,27.62%,20/8/20,68
Albania,33,20/8/21,138,23/8/19,110,25.45%,21/8/20,89
Albania,33,21/8/21,126,24/8/19,92,36.96%,22/8/20,58
Albania,33,22/8/21,133,25/8/19,88,51.14%,23/8/20,69
Albania,34,23/8/21,143,26/8/19,103,38.83%,24/8/20,81
Albania,34,24/8/21,134,27/8/19,121,10.74%,25/8/20,67
Albania,34,25/8/21,122,28/8/19,98,24.49%,26/8/20,70
Albania,34,26/8/21,146,29/8/19,92,58.70%,27/8/20,66
Albania,34,27/8/21,157,30/8/19,103,52.43%,28/8/20,95
Albania,34,28/8/21,131,31/8/19,96,36.46%,29/8/20,56
Albania,34,29/8/21,136,1/9/19,86,58.14%,30/8/20,74
Albania,35,30/8/21,151,2/9/19,103,46.60%,31/8/20,76
Albania,35,31/8/21,137,3/9/19,129,6.20%,1/9/20,64
Albania,35,1/9/21,129,4/9/19,92,40.22%,2/9/20,59
Albania,35,2/9/21,142,5/9/19,96,47.92%,3/9/20,67
Albania,35,3/9/21,147,6/9/19,103,42.72%,4/9/20,89
Albania,35,4/9/21,127,7/9/19,94,35.11%,5/9/20,53
Albania,35,5/9/21,130,8/9/19,89,46.07%,6/9/20,64
Albania,36,6/9/21,140,9/9/19,100,40.00%,7/9/20,69
Albania,36,7/9/21,125,10/9/19,124,0.81%,8/9/20,57
Albania,36,8/9/21,115,11/9/19,84,36.90%,9/9/20,57
Albania,36,9/9/21,120,12/9/19,93,29.03%,10/9/20,52
Albania,36,10/9/21,139,13/9/19,102,36.27%,11/9/20,81
Albania,36,11/9/21,115,14/9/19,92,25.00%,12/9/20,46
Albania,36,12/9/21,112,15/9/19,86,30.23%,13/9/20,62
Albania,37,13/9/21,119,16/9/19,100,19.00%,14/9/20,61
Albania,37,14/9/21,123,17/9/19,111,10.81%,15/9/20,50
Albania,37,15/9/21,97,18/9/19,75,29.33%,16/9/20,45
Albania,37,16/9/21,104,19/9/19,88,18.18%,17/9/20,43
Albania,37,17/9/21,119,20/9/19,96,23.96%,18/9/20,68
Albania,37,18/9/21,95,21/9/19,82,15.85%,19/9/20,46
Albania,37,19/9/21,95,22/9/19,84,13.10%,20/9/20,58
Albania,38,20/9/21,115,23/9/19,75,53.33%,21/9/20,53
Albania,38,21/9/21,102,24/9/19,93,9.68%,22/9/20,45
Albania,38,22/9/21,86,25/9/19,66,30.30%,23/9/20,49
Albania,38,23/9/21,91,26/9/19,76,19.74%,24/9/20,45
Albania,38,24/9/21,106,27/9/19,76,39.47%,25/9/20,70
Albania,38,25/9/21,89,28/9/19,68,30.88%,26/9/20,36
Albania,38,26/9/21,104,29/9/19,76,36.84%,27/9/20,56
Albania,39,27/9/21,117,30/9/19,89,31.46%,28/9/20,61
Albania,39,28/9/21,92,1/10/19,83,10.84%,29/9/20,40
Albania,39,29/9/21,89,2/10/19,77,15.58%,30/9/20,52
Albania,39,30/9/21,103,3/10/19,79,30.38%,1/10/20,57
Albania,39,1/10/21,101,4/10/19,73,38.36%,2/10/20,71
Albania,39,2/10/21,86,5/10/19,72,19.44%,3/10/20,47
Albania,39,3/10/21,88,6/10/19,78,12.82%,4/10/20,58
Albania,40,4/10/21,89,7/10/19,80,11.25%,5/10/20,48
Albania,40,5/10/21,76,8/10/19,69,10.14%,6/10/20,35
Albania,40,6/10/21,84,9/10/19,71,18.31%,7/10/20,50
Albania,40,7/10/21,87,10/10/19,77,12.99%,8/10/20,44
Albania,40,8/10/21,98,11/10/19,87,12.64%,9/10/20,51
Albania,40,9/10/21,73,12/10/19,66,10.61%,10/10/20,43
Albania,40,10/10/21,97,13/10/19,80,21.25%,11/10/20,51
Albania,41,11/10/21,93,14/10/19,77,20.78%,12/10/20,51
Albania,41,12/10/21,75,15/10/19,74,1.35%,13/10/20,37
Albania,41,13/10/21,86,16/10/19,75,14.67%,14/10/20,40
Albania,41,14/10/21,90,17/10/19,80,12.50%,15/10/20,43
Albania,41,15/10/21,104,18/10/19,80,30.00%,16/10/20,59
Albania,41,16/10/21,71,19/10/19,69,2.90%,17/10/20,46
Albania,41,17/10/21,82,20/10/19,78,5.13%,18/10/20,48
Albania,42,18/10/21,84,21/10/19,81,3.70%,19/10/20,54
Albania,42,19/10/21,63,22/10/19,64,-1.56%,20/10/20,39
Albania,42,20/10/21,70,23/10/19,77,-9.09%,21/10/20,34
Albania,42,21/10/21,92,24/10/19,90,2.22%,22/10/20,48
Albania,42,22/10/21,94,25/10/19,77,22.08%,23/10/20,58
Albania,42,23/10/21,73,26/10/19,59,23.73%,24/10/20,56
Albania,42,24/10/21,86,27/10/19,78,10.26%,25/10/20,57
Albania,43,25/10/21,89,28/10/19,78,14.10%,26/10/20,56
Albania,43,26/10/21,69,29/10/19,63,9.52%,27/10/20,43
Albania,43,27/10/21,81,30/10/19,64,26.56%,28/10/20,42
Albania,43,28/10/21,85,31/10/19,77,10.39%,29/10/20,44
Albania,43,29/10/21,95,1/11/19,78,21.79%,30/10/20,52
Albania,43,30/10/21,70,2/11/19,61,14.75%,31/10/20,40
Albania,43,31/10/21,81,3/11/19,77,5.19%,1/11/20,57
Albania,44,1/11/21,81,4/11/19,74,9.46%,2/11/20,65
Albania,44,2/11/21,81,5/11/19,62,30.65%,3/11/20,31
Albania,44,3/11/21,68,6/11/19,65,4.62%,4/11/20,44
Albania,44,4/11/21,86,7/11/19,76,13.16%,5/11/20,48
Albania,44,5/11/21,78,8/11/19,79,-1.27%,6/11/20,51
Albania,44,6/11/21,67,9/11/19,58,15.52%,7/11/20,40
Albania,44,7/11/21,82,10/11/19,73,12.33%,8/11/20,58
Albania,45,8/11/21,88,11/11/19,72,22.22%,9/11/20,59
Albania,45,9/11/21,60,12/11/19,56,7.14%,10/11/20,40
Albania,45,10/11/21,64,13/11/19,63,1.59%,11/11/20,43
Albania,45,11/11/21,71,14/11/19,75,-5.33%,12/11/20,46
Albania,45,12/11/21,84,15/11/19,78,7.69%,13/11/20,69
Albania,45,13/11/21,59,16/11/19,64,-7.81%,14/11/20,38
Albania,45,14/11/21,76,17/11/19,79,-3.80%,15/11/20,44
Albania,46,15/11/21,79,18/11/19,79,0.00%,16/11/20,56
Albania,46,16/11/21,54,19/11/19,60,-10.00%,17/11/20,26
Albania,46,17/11/21,54,20/11/19,66,-18.18%,18/11/20,39
Albania,46,18/11/21,66,21/11/19,76,-13.16%,19/11/20,39
Albania,46,19/11/21,76,22/11/19,74,2.70%,20/11/20,53
Albania,46,20/11/21,58,23/11/19,60,-3.33%,21/11/20,29
Albania,46,21/11/21,69,24/11/19,71,-2.82%,22/11/20,32
Albania,47,22/11/21,88,25/11/19,68,29.41%,23/11/20,37
Albania,47,23/11/21,60,26/11/19,83,-27.71%,24/11/20,15
Albania,47,24/11/21,55,27/11/19,69,-20.29%,25/11/20,23
Albania,47,25/11/21,67,28/11/19,76,-11.84%,26/11/20,26
Albania,47,26/11/21,80,29/11/19,76,5.26%,27/11/20,36
Albania,47,27/11/21,59,30/11/19,62,-4.84%,28/11/20,29
Albania,47,28/11/21,71,1/12/19,85,-16.47%,29/11/20,32
Albania,48,29/11/21,78,2/12/19,84,-7.14%,30/11/20,36
Albania,48,30/11/21,61,3/12/19,57,7.02%,1/12/20,13
Albania,48,1/12/21,61,4/12/19,68,-10.29%,2/12/20,36
Albania,48,2/12/21,57,5/12/19,69,-17.39%,3/12/20,31
Albania,48,3/12/21,78,6/12/19,77,1.30%,4/12/20,39
Albania,48,4/12/21,63,7/12/19,63,0.00%,5/12/20,34
Albania,48,5/12/21,76,8/12/19,80,-5.00%,6/12/20,32
Albania,49,6/12/21,77,9/12/19,73,5.48%,7/12/20,39
Albania,49,7/12/21,60,10/12/19,61,-1.64%,8/12/20,20
Albania,49,8/12/21,50,11/12/19,63,-20.63%,9/12/20,26
Albania,49,9/12/21,68,12/12/19,71,-4.23%,10/12/20,32
Albania,49,10/12/21,82,13/12/19,68,20.59%,11/12/20,40
Albania,49,11/12/21,58,14/12/19,69,-15.94%,12/12/20,34
Albania,49,12/12/21,67,15/12/19,79,-15.19%,13/12/20,36
Albania,50,13/12/21,82,16/12/19,84,-2.38%,14/12/20,43
Albania,50,14/12/21,71,17/12/19,66,7.58%,15/12/20,19
Albania,50,15/12/21,64,18/12/19,69,-7.25%,16/12/20,23
Albania,50,16/12/21,92,19/12/19,84,9.52%,17/12/20,43
Albania,50,17/12/21,84,20/12/19,89,-5.62%,18/12/20,53
Albania,50,18/12/21,77,21/12/19,79,-2.53%,19/12/20,49
Albania,50,19/12/21,93,22/12/19,84,10.71%,20/12/20,49
Albania,51,20/12/21,93,23/12/19,80,16.25%,21/12/20,43
Albania,51,21/12/21,98,24/12/19,73,34.25%,22/12/20,36
Albania,51,22/12/21,86,25/12/19,73,17.81%,23/12/20,38
Albania,51,23/12/21,96,26/12/19,84,14.29%,24/12/20,37
Albania,51,24/12/21,86,27/12/19,80,7.50%,25/12/20,21
Albania,51,25/12/21,67,28/12/19,74,-9.46%,26/12/20,26
Albania,51,26/12/21,91,29/12/19,89,2.25%,27/12/20,43
Albania,52,27/12/21,93,30/12/19,79,17.72%,28/12/20,46
Albania,52,28/12/21,90,31/12/19,70,28.57%,29/12/20,21
Albania,52,29/12/21,76,1/1/20,68,11.76%,30/12/20,30
Albania,52,30/12/21,104,2/1/20,83,25.30%,31/12/20,23
Albania,52,31/12/21,65,3/1/20,80,-18.75%,1/1/21,19
Armenia,53,1/1/21,14,4/1/19,67,-79.10%,3/1/20,72
Armenia,53,2/1/21,14,5/1/19,67,-79.10%,4/1/20,86
Armenia,53,3/1/21,26,6/1/19,89,-70.79%,5/1/20,86
Armenia,1,4/1/21,22,7/1/19,87,-74.71%,6/1/20,87
Armenia,1,5/1/21,28,8/1/19,80,-65.00%,7/1/20,92
Armenia,1,6/1/21,21,9/1/19,64,-67.19%,8/1/20,88
Armenia,1,7/1/21,26,10/1/19,68,-61.76%,9/1/20,73
Armenia,1,8/1/21,35,11/1/19,63,-44.44%,10/1/20,70
Armenia,1,9/1/21,26,12/1/19,63,-58.73%,11/1/20,77
Armenia,1,10/1/21,35,13/1/19,68,-48.53%,12/1/20,70
Armenia,2,11/1/21,25,14/1/19,50,-50.00%,13/1/20,72
Armenia,2,12/1/21,19,15/1/19,66,-71.21%,14/1/20,69
Armenia,2,13/1/21,13,16/1/19,52,-75.00%,15/1/20,72
Armenia,2,14/1/21,22,17/1/19,57,-61.40%,16/1/20,66
Armenia,2,15/1/21,38,18/1/19,64,-40.63%,17/1/20,66
Armenia,2,16/1/21,18,19/1/19,60,-70.00%,18/1/20,77
Armenia,2,17/1/21,25,20/1/19,65,-61.54%,19/1/20,68
Armenia,3,18/1/21,22,21/1/19,48,-54.17%,20/1/20,66
Armenia,3,19/1/21,15,22/1/19,60,-75.00%,21/1/20,69
Armenia,3,20/1/21,22,23/1/19,46,-52.17%,22/1/20,61
Armenia,3,21/1/21,21,24/1/19,54,-61.11%,23/1/20,69
Armenia,3,22/1/21,26,25/1/19,53,-50.94%,24/1/20,60
Armenia,3,23/1/21,20,26/1/19,57,-64.91%,25/1/20,69
Armenia,3,24/1/21,28,27/1/19,56,-50.00%,26/1/20,70
Armenia,4,25/1/21,23,28/1/19,50,-54.00%,27/1/20,59
